zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count
0,A0,-76.95614896113524,38.979556977077486,"POLYGON ((-76.95966935000001 38.97652866992371,-76.95966935000001 38.98221681628665,-76.95335046157547 38.98221681628665,-76.95335046157547 38.97652866992371,-76.95966935000001 38.97652866992371))",POINT (-76.95614896113524 38.979556977077486),342
1,A1,-76.9503705959991,38.979262715910416,"POLYGON ((-76.95335046157547 38.97652866992371,-76.95335046157547 38.98221681628665,-76.94703157315092 38.98221681628665,-76.94703157315092 38.97652866992371,-76.95335046157547 38.97652866992371))",POINT (-76.9503705959991 38.979262715910416),163
2,A2,-76.94306724620641,38.98008989839545,"POLYGON ((-76.94703157315092 38.97652866992371,-76.94703157315092 38.98221681628665,-76.94071268472638 38.98221681628665,-76.94071268472638 38.97652866992371,-76.94703157315092 38.97652866992371))",POINT (-76.94306724620641 38.98008989839545),147
3,B3,-76.93748964696455,38.97973917233188,"POLYGON ((-76.94071268472638 38.97652866992371,-76.94071268472638 38.98221681628665,-76.93439379630183 38.98221681628665,-76.93439379630183 38.97652866992371,-76.94071268472638 38.97652866992371))",POINT (-76.93748964696455 38.97973917233188),237
4,B4,-76.93217898394533,38.97918868236121,"POLYGON ((-76.93439379630183 38.97652866992371,-76.93439379630183 38.98221681628665,-76.92807490787729 38.98221681628665,-76.92807490787729 38.97652866992371,-76.93439379630183 38.97652866992371))",POINT (-76.93217898394533 38.97918868236121),319
5,B0,-76.95654038918376,38.98473290872155,"POLYGON ((-76.95966935000001 38.98221681628665,-76.95966935000001 38.987904962649594,-76.95335046157547 38.987904962649594,-76.95335046157547 38.98221681628665,-76.95966935000001 38.98221681628665))",POINT (-76.95654038918376 38.98473290872155),163
6,B1,-76.94918515736619,38.98525638276749,"POLYGON ((-76.95335046157547 38.98221681628665,-76.95335046157547 38.987904962649594,-76.94703157315092 38.987904962649594,-76.94703157315092 38.98221681628665,-76.95335046157547 38.98221681628665))",POINT (-76.94918515736619 38.98525638276749),43
7,B2,-76.94391753002535,38.985069739862865,"POLYGON ((-76.94703157315092 38.98221681628665,-76.94703157315092 38.987904962649594,-76.94071268472638 38.987904962649594,-76.94071268472638 38.98221681628665,-76.94703157315092 38.98221681628665))",POINT (-76.94391753002535 38.985069739862865),64
8,C3,-76.93782936830148,38.98522358509069,"POLYGON ((-76.94071268472638 38.98221681628665,-76.94071268472638 38.987904962649594,-76.93439379630183 38.987904962649594,-76.93439379630183 38.98221681628665,-76.94071268472638 38.98221681628665))",POINT (-76.93782936830148 38.98522358509069),60
9,C4,-76.93281099835939,38.98386611360585,"POLYGON ((-76.93439379630183 38.98221681628665,-76.93439379630183 38.987904962649594,-76.92807490787729 38.987904962649594,-76.92807490787729 38.98221681628665,-76.93439379630183 38.98221681628665))",POINT (-76.93281099835939 38.98386611360585),64
10,C0,-76.95679046211451,38.9911945889552,"POLYGON ((-76.95966935000001 38.987904962649594,-76.95966935000001 38.99359310901254,-76.95335046157547 38.99359310901254,-76.95335046157547 38.987904962649594,-76.95966935000001 38.987904962649594))",POINT (-76.95679046211451 38.9911945889552),56
11,C1,-76.94939878151207,38.991512819518306,"POLYGON ((-76.95335046157547 38.987904962649594,-76.95335046157547 38.99359310901254,-76.94703157315092 38.99359310901254,-76.94703157315092 38.987904962649594,-76.95335046157547 38.987904962649594))",POINT (-76.94939878151207 38.991512819518306),39
12,C2,-76.94348046644811,38.99088718523098,"POLYGON ((-76.94703157315092 38.987904962649594,-76.94703157315092 38.99359310901254,-76.94071268472638 38.99359310901254,-76.94071268472638 38.987904962649594,-76.94703157315092 38.987904962649594))",POINT (-76.94348046644811 38.99088718523098),76
13,D3,-76.93804582130882,38.99038386195248,"POLYGON ((-76.94071268472638 38.987904962649594,-76.94071268472638 38.99359310901254,-76.93439379630183 38.99359310901254,-76.93439379630183 38.987904962649594,-76.94071268472638 38.987904962649594))",POINT (-76.93804582130882 38.99038386195248),66
14,D4,-76.93229361007478,38.99131678004122,"POLYGON ((-76.93439379630183 38.987904962649594,-76.93439379630183 38.99359310901254,-76.92807490787729 38.99359310901254,-76.92807490787729 38.987904962649594,-76.93439379630183 38.987904962649594))",POINT (-76.93229361007478 38.99131678004122),65
15,D0,-76.9564057308593,38.99642994930704,"POLYGON ((-76.95966935000001 38.99359310901254,-76.95966935000001 38.99928125537548,-76.95335046157547 38.99928125537548,-76.95335046157547 38.99359310901254,-76.95966935000001 38.99359310901254))",POINT (-76.9564057308593 38.99642994930704),9
16,D1,-76.94883356408197,38.997350815863484,"POLYGON ((-76.95335046157547 38.99359310901254,-76.95335046157547 38.99928125537548,-76.94703157315092 38.99928125537548,-76.94703157315092 38.99359310901254,-76.95335046157547 38.99359310901254))",POINT (-76.94883356408197 38.997350815863484),105
17,D2,-76.94314368324747,38.99631118029311,"POLYGON ((-76.94703157315092 38.99359310901254,-76.94703157315092 38.99928125537548,-76.94071268472638 38.99928125537548,-76.94071268472638 38.99359310901254,-76.94703157315092 38.99359310901254))",POINT (-76.94314368324747 38.99631118029311),37
18,E3,-76.93814701133961,38.99574541006349,"POLYGON ((-76.94071268472638 38.99359310901254,-76.94071268472638 38.99928125537548,-76.93439379630183 38.99928125537548,-76.93439379630183 38.99359310901254,-76.94071268472638 38.99359310901254))",POINT (-76.93814701133961 38.99574541006349),62
19,E4,-76.93146902382163,38.996468367367,"POLYGON ((-76.93439379630183 38.99359310901254,-76.93439379630183 38.99928125537548,-76.92807490787729 38.99928125537548,-76.92807490787729 38.99359310901254,-76.93439379630183 38.99359310901254))",POINT (-76.93146902382163 38.996468367367),129
20,E0,-76.95632289196739,39.003130542025964,"POLYGON ((-76.95966935000001 38.99928125537548,-76.95966935000001 39.00496940173842,-76.95335046157547 39.00496940173842,-76.95335046157547 38.99928125537548,-76.95966935000001 38.99928125537548))",POINT (-76.95632289196739 39.003130542025964),15
21,E1,-76.9493981599047,39.00205415855821,"POLYGON ((-76.95335046157547 38.99928125537548,-76.95335046157547 39.00496940173842,-76.94703157315092 39.00496940173842,-76.94703157315092 38.99928125537548,-76.95335046157547 38.99928125537548))",POINT (-76.9493981599047 39.00205415855821),350
22,E2,-76.9437501126586,39.00196627858609,"POLYGON ((-76.94703157315092 38.99928125537548,-76.94703157315092 39.00496940173842,-76.94071268472638 39.00496940173842,-76.94071268472638 38.99928125537548,-76.94703157315092 38.99928125537548))",POINT (-76.9437501126586 39.00196627858609),107
23,F3,-76.9376205466815,39.000965571665056,"POLYGON ((-76.94071268472638 38.99928125537548,-76.94071268472638 39.00496940173842,-76.93439379630183 39.00496940173842,-76.93439379630183 38.99928125537548,-76.94071268472638 38.99928125537548))",POINT (-76.9376205466815 39.000965571665056),58
24,F4,-76.93123840128628,39.0027413970488,"POLYGON ((-76.93439379630183 38.99928125537548,-76.93439379630183 39.00496940173842,-76.92807490787729 39.00496940173842,-76.92807490787729 38.99928125537548,-76.93439379630183 38.99928125537548))",POINT (-76.93123840128628 39.0027413970488),68
