grid_id,geometry,centroid
0,"POLYGON ((-88.979478 40.857321, -88.7845507 40.857321, -88.7845507 41.051361899999996, -88.979478 41.051361899999996, -88.979478 40.857321))",POINT (-88.88201435 40.954341449999994)
1,"POLYGON ((-88.979478 41.051361899999996, -88.7845507 41.051361899999996, -88.7845507 41.2454028, -88.979478 41.2454028, -88.979478 41.051361899999996))",POINT (-88.88201434999999 41.14838235)
2,"POLYGON ((-88.979478 41.2454028, -88.7845507 41.2454028, -88.7845507 41.4394437, -88.979478 41.4394437, -88.979478 41.2454028))",POINT (-88.88201435 41.342423249999996)
3,"POLYGON ((-88.979478 41.4394437, -88.7845507 41.4394437, -88.7845507 41.6334846, -88.979478 41.6334846, -88.979478 41.4394437))",POINT (-88.88201434999999 41.53646415000001)
4,"POLYGON ((-88.979478 41.6334846, -88.7845507 41.6334846, -88.7845507 41.8275255, -88.979478 41.8275255, -88.979478 41.6334846))",POINT (-88.88201435 41.73050505)
5,"POLYGON ((-88.979478 41.8275255, -88.7845507 41.8275255, -88.7845507 42.0215664, -88.979478 42.0215664, -88.979478 41.8275255))",POINT (-88.88201435 41.924545949999995)
6,"POLYGON ((-88.979478 42.0215664, -88.7845507 42.0215664, -88.7845507 42.2156073, -88.979478 42.2156073, -88.979478 42.0215664))",POINT (-88.88201434999999 42.11858685)
7,"POLYGON ((-88.979478 42.2156073, -88.7845507 42.2156073, -88.7845507 42.4096482, -88.979478 42.4096482, -88.979478 42.2156073))",POINT (-88.88201435 42.312627750000004)
8,"POLYGON ((-88.979478 42.4096482, -88.7845507 42.4096482, -88.7845507 42.603689100000004, -88.979478 42.603689100000004, -88.979478 42.4096482))",POINT (-88.88201434999999 42.50666865)
9,"POLYGON ((-88.979478 42.603689100000004, -88.7845507 42.603689100000004, -88.7845507 42.79773, -88.979478 42.79773, -88.979478 42.603689100000004))",POINT (-88.88201435 42.70070955)
10,"POLYGON ((-88.7845507 40.857321, -88.58962340000001 40.857321, -88.58962340000001 41.051361899999996, -88.7845507 41.051361899999996, -88.7845507 40.857321))",POINT (-88.68708705 40.95434145)
11,"POLYGON ((-88.7845507 41.051361899999996, -88.58962340000001 41.051361899999996, -88.58962340000001 41.2454028, -88.7845507 41.2454028, -88.7845507 41.051361899999996))",POINT (-88.68708705 41.148382350000006)
12,"POLYGON ((-88.7845507 41.2454028, -88.58962340000001 41.2454028, -88.58962340000001 41.4394437, -88.7845507 41.4394437, -88.7845507 41.2454028))",POINT (-88.68708705 41.342423249999996)
13,"POLYGON ((-88.7845507 41.4394437, -88.58962340000001 41.4394437, -88.58962340000001 41.6334846, -88.7845507 41.6334846, -88.7845507 41.4394437))",POINT (-88.68708705 41.53646415)
14,"POLYGON ((-88.7845507 41.6334846, -88.58962340000001 41.6334846, -88.58962340000001 41.8275255, -88.7845507 41.8275255, -88.7845507 41.6334846))",POINT (-88.68708705 41.730505050000005)
15,"POLYGON ((-88.7845507 41.8275255, -88.58962340000001 41.8275255, -88.58962340000001 42.0215664, -88.7845507 42.0215664, -88.7845507 41.8275255))",POINT (-88.68708705 41.924545949999995)
16,"POLYGON ((-88.7845507 42.0215664, -88.58962340000001 42.0215664, -88.58962340000001 42.2156073, -88.7845507 42.2156073, -88.7845507 42.0215664))",POINT (-88.68708705 42.11858685)
17,"POLYGON ((-88.7845507 42.2156073, -88.58962340000001 42.2156073, -88.58962340000001 42.4096482, -88.7845507 42.4096482, -88.7845507 42.2156073))",POINT (-88.68708705 42.312627750000004)
18,"POLYGON ((-88.7845507 42.4096482, -88.58962340000001 42.4096482, -88.58962340000001 42.603689100000004, -88.7845507 42.603689100000004, -88.7845507 42.4096482))",POINT (-88.68708705 42.50666865000001)
19,"POLYGON ((-88.7845507 42.603689100000004, -88.58962340000001 42.603689100000004, -88.58962340000001 42.79773, -88.7845507 42.79773, -88.7845507 42.603689100000004))",POINT (-88.68708705 42.70070955)
20,"POLYGON ((-88.58962340000001 40.857321, -88.3946961 40.857321, -88.3946961 41.051361899999996, -88.58962340000001 41.051361899999996, -88.58962340000001 40.857321))",POINT (-88.49215975 40.954341449999994)
21,"POLYGON ((-88.58962340000001 41.051361899999996, -88.3946961 41.051361899999996, -88.3946961 41.2454028, -88.58962340000001 41.2454028, -88.58962340000001 41.051361899999996))",POINT (-88.49215975 41.14838235)
22,"POLYGON ((-88.58962340000001 41.2454028, -88.3946961 41.2454028, -88.3946961 41.4394437, -88.58962340000001 41.4394437, -88.58962340000001 41.2454028))",POINT (-88.49215975 41.342423249999996)
23,"POLYGON ((-88.58962340000001 41.4394437, -88.3946961 41.4394437, -88.3946961 41.6334846, -88.58962340000001 41.6334846, -88.58962340000001 41.4394437))",POINT (-88.49215975 41.53646415000001)
24,"POLYGON ((-88.58962340000001 41.6334846, -88.3946961 41.6334846, -88.3946961 41.8275255, -88.58962340000001 41.8275255, -88.58962340000001 41.6334846))",POINT (-88.49215975 41.73050505)
25,"POLYGON ((-88.58962340000001 41.8275255, -88.3946961 41.8275255, -88.3946961 42.0215664, -88.58962340000001 42.0215664, -88.58962340000001 41.8275255))",POINT (-88.49215975 41.924545949999995)
26,"POLYGON ((-88.58962340000001 42.0215664, -88.3946961 42.0215664, -88.3946961 42.2156073, -88.58962340000001 42.2156073, -88.58962340000001 42.0215664))",POINT (-88.49215975 42.11858685)
27,"POLYGON ((-88.58962340000001 42.2156073, -88.3946961 42.2156073, -88.3946961 42.4096482, -88.58962340000001 42.4096482, -88.58962340000001 42.2156073))",POINT (-88.49215975 42.312627750000004)
28,"POLYGON ((-88.58962340000001 42.4096482, -88.3946961 42.4096482, -88.3946961 42.603689100000004, -88.58962340000001 42.603689100000004, -88.58962340000001 42.4096482))",POINT (-88.49215975 42.50666865)
29,"POLYGON ((-88.58962340000001 42.603689100000004, -88.3946961 42.603689100000004, -88.3946961 42.79773, -88.58962340000001 42.79773, -88.58962340000001 42.603689100000004))",POINT (-88.49215975 42.70070955)
30,"POLYGON ((-88.3946961 40.857321, -88.1997688 40.857321, -88.1997688 41.051361899999996, -88.3946961 41.051361899999996, -88.3946961 40.857321))",POINT (-88.29723245 40.954341449999994)
31,"POLYGON ((-88.3946961 41.051361899999996, -88.1997688 41.051361899999996, -88.1997688 41.2454028, -88.3946961 41.2454028, -88.3946961 41.051361899999996))",POINT (-88.29723245 41.14838235)
32,"POLYGON ((-88.3946961 41.2454028, -88.1997688 41.2454028, -88.1997688 41.4394437, -88.3946961 41.4394437, -88.3946961 41.2454028))",POINT (-88.29723245 41.342423249999996)
33,"POLYGON ((-88.3946961 41.4394437, -88.1997688 41.4394437, -88.1997688 41.6334846, -88.3946961 41.6334846, -88.3946961 41.4394437))",POINT (-88.29723245 41.53646415000001)
34,"POLYGON ((-88.3946961 41.6334846, -88.1997688 41.6334846, -88.1997688 41.8275255, -88.3946961 41.8275255, -88.3946961 41.6334846))",POINT (-88.29723245 41.73050505)
35,"POLYGON ((-88.3946961 41.8275255, -88.1997688 41.8275255, -88.1997688 42.0215664, -88.3946961 42.0215664, -88.3946961 41.8275255))",POINT (-88.29723245 41.924545949999995)
36,"POLYGON ((-88.3946961 42.0215664, -88.1997688 42.0215664, -88.1997688 42.2156073, -88.3946961 42.2156073, -88.3946961 42.0215664))",POINT (-88.29723245 42.11858685)
37,"POLYGON ((-88.3946961 42.2156073, -88.1997688 42.2156073, -88.1997688 42.4096482, -88.3946961 42.4096482, -88.3946961 42.2156073))",POINT (-88.29723245 42.312627750000004)
38,"POLYGON ((-88.3946961 42.4096482, -88.1997688 42.4096482, -88.1997688 42.603689100000004, -88.3946961 42.603689100000004, -88.3946961 42.4096482))",POINT (-88.29723245 42.50666865)
39,"POLYGON ((-88.3946961 42.603689100000004, -88.1997688 42.603689100000004, -88.1997688 42.79773, -88.3946961 42.79773, -88.3946961 42.603689100000004))",POINT (-88.29723245 42.70070955)
40,"POLYGON ((-88.1997688 40.857321, -88.0048415 40.857321, -88.0048415 41.051361899999996, -88.1997688 41.051361899999996, -88.1997688 40.857321))",POINT (-88.10230515 40.954341449999994)
41,"POLYGON ((-88.1997688 41.051361899999996, -88.0048415 41.051361899999996, -88.0048415 41.2454028, -88.1997688 41.2454028, -88.1997688 41.051361899999996))",POINT (-88.10230515 41.14838235)
42,"POLYGON ((-88.1997688 41.2454028, -88.0048415 41.2454028, -88.0048415 41.4394437, -88.1997688 41.4394437, -88.1997688 41.2454028))",POINT (-88.10230515 41.342423249999996)
43,"POLYGON ((-88.1997688 41.4394437, -88.0048415 41.4394437, -88.0048415 41.6334846, -88.1997688 41.6334846, -88.1997688 41.4394437))",POINT (-88.10230515 41.53646415000001)
44,"POLYGON ((-88.1997688 41.6334846, -88.0048415 41.6334846, -88.0048415 41.8275255, -88.1997688 41.8275255, -88.1997688 41.6334846))",POINT (-88.10230515 41.73050505)
45,"POLYGON ((-88.1997688 41.8275255, -88.0048415 41.8275255, -88.0048415 42.0215664, -88.1997688 42.0215664, -88.1997688 41.8275255))",POINT (-88.10230515 41.924545949999995)
46,"POLYGON ((-88.1997688 42.0215664, -88.0048415 42.0215664, -88.0048415 42.2156073, -88.1997688 42.2156073, -88.1997688 42.0215664))",POINT (-88.10230515 42.11858685)
47,"POLYGON ((-88.1997688 42.2156073, -88.0048415 42.2156073, -88.0048415 42.4096482, -88.1997688 42.4096482, -88.1997688 42.2156073))",POINT (-88.10230515 42.312627750000004)
48,"POLYGON ((-88.1997688 42.4096482, -88.0048415 42.4096482, -88.0048415 42.603689100000004, -88.1997688 42.603689100000004, -88.1997688 42.4096482))",POINT (-88.10230515 42.50666865)
49,"POLYGON ((-88.1997688 42.603689100000004, -88.0048415 42.603689100000004, -88.0048415 42.79773, -88.1997688 42.79773, -88.1997688 42.603689100000004))",POINT (-88.10230515 42.70070955)
50,"POLYGON ((-88.0048415 40.857321, -87.80991420000001 40.857321, -87.80991420000001 41.051361899999996, -88.0048415 41.051361899999996, -88.0048415 40.857321))",POINT (-87.90737784999999 40.95434145)
51,"POLYGON ((-88.0048415 41.051361899999996, -87.80991420000001 41.051361899999996, -87.80991420000001 41.2454028, -88.0048415 41.2454028, -88.0048415 41.051361899999996))",POINT (-87.90737784999999 41.148382350000006)
52,"POLYGON ((-88.0048415 41.2454028, -87.80991420000001 41.2454028, -87.80991420000001 41.4394437, -88.0048415 41.4394437, -88.0048415 41.2454028))",POINT (-87.90737784999999 41.342423249999996)
53,"POLYGON ((-88.0048415 41.4394437, -87.80991420000001 41.4394437, -87.80991420000001 41.6334846, -88.0048415 41.6334846, -88.0048415 41.4394437))",POINT (-87.90737784999999 41.53646415)
54,"POLYGON ((-88.0048415 41.6334846, -87.80991420000001 41.6334846, -87.80991420000001 41.8275255, -88.0048415 41.8275255, -88.0048415 41.6334846))",POINT (-87.90737784999999 41.730505050000005)
55,"POLYGON ((-88.0048415 41.8275255, -87.80991420000001 41.8275255, -87.80991420000001 42.0215664, -88.0048415 42.0215664, -88.0048415 41.8275255))",POINT (-87.90737784999999 41.924545949999995)
56,"POLYGON ((-88.0048415 42.0215664, -87.80991420000001 42.0215664, -87.80991420000001 42.2156073, -88.0048415 42.2156073, -88.0048415 42.0215664))",POINT (-87.90737784999999 42.11858685)
57,"POLYGON ((-88.0048415 42.2156073, -87.80991420000001 42.2156073, -87.80991420000001 42.4096482, -88.0048415 42.4096482, -88.0048415 42.2156073))",POINT (-87.90737784999999 42.312627750000004)
58,"POLYGON ((-88.0048415 42.4096482, -87.80991420000001 42.4096482, -87.80991420000001 42.603689100000004, -88.0048415 42.603689100000004, -88.0048415 42.4096482))",POINT (-87.90737784999999 42.50666865000001)
59,"POLYGON ((-88.0048415 42.603689100000004, -87.80991420000001 42.603689100000004, -87.80991420000001 42.79773, -88.0048415 42.79773, -88.0048415 42.603689100000004))",POINT (-87.90737784999999 42.70070955)
60,"POLYGON ((-87.80991420000001 40.857321, -87.6149869 40.857321, -87.6149869 41.051361899999996, -87.80991420000001 41.051361899999996, -87.80991420000001 40.857321))",POINT (-87.71245055000001 40.954341449999994)
61,"POLYGON ((-87.80991420000001 41.051361899999996, -87.6149869 41.051361899999996, -87.6149869 41.2454028, -87.80991420000001 41.2454028, -87.80991420000001 41.051361899999996))",POINT (-87.71245055000001 41.14838235)
62,"POLYGON ((-87.80991420000001 41.2454028, -87.6149869 41.2454028, -87.6149869 41.4394437, -87.80991420000001 41.4394437, -87.80991420000001 41.2454028))",POINT (-87.71245055000001 41.342423249999996)
63,"POLYGON ((-87.80991420000001 41.4394437, -87.6149869 41.4394437, -87.6149869 41.6334846, -87.80991420000001 41.6334846, -87.80991420000001 41.4394437))",POINT (-87.71245055000001 41.53646415000001)
64,"POLYGON ((-87.80991420000001 41.6334846, -87.6149869 41.6334846, -87.6149869 41.8275255, -87.80991420000001 41.8275255, -87.80991420000001 41.6334846))",POINT (-87.71245055000001 41.73050505)
65,"POLYGON ((-87.80991420000001 41.8275255, -87.6149869 41.8275255, -87.6149869 42.0215664, -87.80991420000001 42.0215664, -87.80991420000001 41.8275255))",POINT (-87.71245055000001 41.924545949999995)
66,"POLYGON ((-87.80991420000001 42.0215664, -87.6149869 42.0215664, -87.6149869 42.2156073, -87.80991420000001 42.2156073, -87.80991420000001 42.0215664))",POINT (-87.71245055000001 42.11858685)
67,"POLYGON ((-87.80991420000001 42.2156073, -87.6149869 42.2156073, -87.6149869 42.4096482, -87.80991420000001 42.4096482, -87.80991420000001 42.2156073))",POINT (-87.71245055000001 42.312627750000004)
68,"POLYGON ((-87.80991420000001 42.4096482, -87.6149869 42.4096482, -87.6149869 42.603689100000004, -87.80991420000001 42.603689100000004, -87.80991420000001 42.4096482))",POINT (-87.71245055000001 42.50666865)
69,"POLYGON ((-87.80991420000001 42.603689100000004, -87.6149869 42.603689100000004, -87.6149869 42.79773, -87.80991420000001 42.79773, -87.80991420000001 42.603689100000004))",POINT (-87.71245055000001 42.70070955)
70,"POLYGON ((-87.6149869 40.857321, -87.4200596 40.857321, -87.4200596 41.051361899999996, -87.6149869 41.051361899999996, -87.6149869 40.857321))",POINT (-87.51752325000001 40.954341449999994)
71,"POLYGON ((-87.6149869 41.051361899999996, -87.4200596 41.051361899999996, -87.4200596 41.2454028, -87.6149869 41.2454028, -87.6149869 41.051361899999996))",POINT (-87.51752325000001 41.14838235)
72,"POLYGON ((-87.6149869 41.2454028, -87.4200596 41.2454028, -87.4200596 41.4394437, -87.6149869 41.4394437, -87.6149869 41.2454028))",POINT (-87.51752325000001 41.342423249999996)
73,"POLYGON ((-87.6149869 41.4394437, -87.4200596 41.4394437, -87.4200596 41.6334846, -87.6149869 41.6334846, -87.6149869 41.4394437))",POINT (-87.51752325000001 41.53646415000001)
74,"POLYGON ((-87.6149869 41.6334846, -87.4200596 41.6334846, -87.4200596 41.8275255, -87.6149869 41.8275255, -87.6149869 41.6334846))",POINT (-87.51752325000001 41.73050505)
75,"POLYGON ((-87.6149869 41.8275255, -87.4200596 41.8275255, -87.4200596 42.0215664, -87.6149869 42.0215664, -87.6149869 41.8275255))",POINT (-87.51752325000001 41.924545949999995)
76,"POLYGON ((-87.6149869 42.0215664, -87.4200596 42.0215664, -87.4200596 42.2156073, -87.6149869 42.2156073, -87.6149869 42.0215664))",POINT (-87.51752325000001 42.11858685)
77,"POLYGON ((-87.6149869 42.2156073, -87.4200596 42.2156073, -87.4200596 42.4096482, -87.6149869 42.4096482, -87.6149869 42.2156073))",POINT (-87.51752325000001 42.312627750000004)
78,"POLYGON ((-87.6149869 42.4096482, -87.4200596 42.4096482, -87.4200596 42.603689100000004, -87.6149869 42.603689100000004, -87.6149869 42.4096482))",POINT (-87.51752325000001 42.50666865)
79,"POLYGON ((-87.6149869 42.603689100000004, -87.4200596 42.603689100000004, -87.4200596 42.79773, -87.6149869 42.79773, -87.6149869 42.603689100000004))",POINT (-87.51752325000001 42.70070955)
80,"POLYGON ((-87.4200596 40.857321, -87.22513230000001 40.857321, -87.22513230000001 41.051361899999996, -87.4200596 41.051361899999996, -87.4200596 40.857321))",POINT (-87.32259595000001 40.95434145)
81,"POLYGON ((-87.4200596 41.051361899999996, -87.22513230000001 41.051361899999996, -87.22513230000001 41.2454028, -87.4200596 41.2454028, -87.4200596 41.051361899999996))",POINT (-87.32259595000002 41.148382350000006)
82,"POLYGON ((-87.4200596 41.2454028, -87.22513230000001 41.2454028, -87.22513230000001 41.4394437, -87.4200596 41.4394437, -87.4200596 41.2454028))",POINT (-87.32259595000001 41.342423249999996)
83,"POLYGON ((-87.4200596 41.4394437, -87.22513230000001 41.4394437, -87.22513230000001 41.6334846, -87.4200596 41.6334846, -87.4200596 41.4394437))",POINT (-87.32259595000002 41.53646415)
84,"POLYGON ((-87.4200596 41.6334846, -87.22513230000001 41.6334846, -87.22513230000001 41.8275255, -87.4200596 41.8275255, -87.4200596 41.6334846))",POINT (-87.32259595000001 41.730505050000005)
85,"POLYGON ((-87.4200596 41.8275255, -87.22513230000001 41.8275255, -87.22513230000001 42.0215664, -87.4200596 42.0215664, -87.4200596 41.8275255))",POINT (-87.32259595000001 41.924545949999995)
86,"POLYGON ((-87.4200596 42.0215664, -87.22513230000001 42.0215664, -87.22513230000001 42.2156073, -87.4200596 42.2156073, -87.4200596 42.0215664))",POINT (-87.32259595000002 42.11858685)
87,"POLYGON ((-87.4200596 42.2156073, -87.22513230000001 42.2156073, -87.22513230000001 42.4096482, -87.4200596 42.4096482, -87.4200596 42.2156073))",POINT (-87.32259595000001 42.312627750000004)
88,"POLYGON ((-87.4200596 42.4096482, -87.22513230000001 42.4096482, -87.22513230000001 42.603689100000004, -87.4200596 42.603689100000004, -87.4200596 42.4096482))",POINT (-87.32259595000002 42.50666865000001)
89,"POLYGON ((-87.4200596 42.603689100000004, -87.22513230000001 42.603689100000004, -87.22513230000001 42.79773, -87.4200596 42.79773, -87.4200596 42.603689100000004))",POINT (-87.32259595000001 42.70070955)
90,"POLYGON ((-87.22513230000001 40.857321, -87.03020500000001 40.857321, -87.03020500000001 41.051361899999996, -87.22513230000001 41.051361899999996, -87.22513230000001 40.857321))",POINT (-87.12766865 40.954341449999994)
91,"POLYGON ((-87.22513230000001 41.051361899999996, -87.03020500000001 41.051361899999996, -87.03020500000001 41.2454028, -87.22513230000001 41.2454028, -87.22513230000001 41.051361899999996))",POINT (-87.12766865 41.14838235)
92,"POLYGON ((-87.22513230000001 41.2454028, -87.03020500000001 41.2454028, -87.03020500000001 41.4394437, -87.22513230000001 41.4394437, -87.22513230000001 41.2454028))",POINT (-87.12766865 41.342423249999996)
93,"POLYGON ((-87.22513230000001 41.4394437, -87.03020500000001 41.4394437, -87.03020500000001 41.6334846, -87.22513230000001 41.6334846, -87.22513230000001 41.4394437))",POINT (-87.12766865 41.53646415000001)
94,"POLYGON ((-87.22513230000001 41.6334846, -87.03020500000001 41.6334846, -87.03020500000001 41.8275255, -87.22513230000001 41.8275255, -87.22513230000001 41.6334846))",POINT (-87.12766865 41.73050505)
95,"POLYGON ((-87.22513230000001 41.8275255, -87.03020500000001 41.8275255, -87.03020500000001 42.0215664, -87.22513230000001 42.0215664, -87.22513230000001 41.8275255))",POINT (-87.12766865 41.924545949999995)
96,"POLYGON ((-87.22513230000001 42.0215664, -87.03020500000001 42.0215664, -87.03020500000001 42.2156073, -87.22513230000001 42.2156073, -87.22513230000001 42.0215664))",POINT (-87.12766865 42.11858685)
97,"POLYGON ((-87.22513230000001 42.2156073, -87.03020500000001 42.2156073, -87.03020500000001 42.4096482, -87.22513230000001 42.4096482, -87.22513230000001 42.2156073))",POINT (-87.12766865 42.312627750000004)
98,"POLYGON ((-87.22513230000001 42.4096482, -87.03020500000001 42.4096482, -87.03020500000001 42.603689100000004, -87.22513230000001 42.603689100000004, -87.22513230000001 42.4096482))",POINT (-87.12766865 42.50666865)
99,"POLYGON ((-87.22513230000001 42.603689100000004, -87.03020500000001 42.603689100000004, -87.03020500000001 42.79773, -87.22513230000001 42.79773, -87.22513230000001 42.603689100000004))",POINT (-87.12766865 42.70070955)
